Animal,Behavior,X.,StartI2FS,StartI2,EndI2,StartRNHF,EndRN,StartB3,EndB3,StartB6B9,EndB6B9,StartB43,EndB43,StartB38prot,EndB38prot,StartB38retr,EndB38retr,StartB10prot,EndB10prot,StartB10retr,StartB4B5,EndB4B5
Q10,bite,3,220.1715,220.5715,222.2055,221.5155,222.9445,NaN,NaN,223.1548,223.58179,223.514,224.2445,218.4925,219.5385,223.5305,224.4995,220.92,221.934,222.21,222.1845,223.202
Q10,bite,4,226.706,226.706,229.3735,228.2943,229.8297,230.798,230.7981,230.7792,230.7987,230.7535,231.5085,223.6847,224.4872,231.412,231.7145,228.869,229.331,229.46,229.314,230.6044
Q10,bite,5,233.097,233.097,234.837,234.1625,235.522,NaN,NaN,235.9212,236.2317,236.2475,236.71,231.1702,231.7052,236.4405,236.4405,233.262,234.808,234.95,234.8175,236.0613
Q10,bite,6,237.992,238.542,240.182,239.6807,241.0565,NaN,NaN,241.1468,241.6317,241.593,242.217,NaN,NaN,241.6325,242.5105,239.056,239.928,240.213,240.0775,241.1705
Q10,bite,7,281.962,281.962,283.462,282.946,284.4109,NaN,NaN,284.6235,285.064,285.2523,285.7015,280.4425,281.867,285.355,285.4955,282.1735,283.551,284.224,283.3315,285.1089
Q10,bite,8,331.0825,331.4825,333.524,331.9627,334.2929,335.0365,335.0366,334.1547,334.8192,335.1138,335.7345,329.6055,331.513,NaN,NaN,332.9395,333.2315,333.5464,332.984,334.9289
Q10,bite,9,337.25,337.25,338.981,338.5646,339.7485,NaN,NaN,340.0286,340.1821,340.273,340.9215,NaN,NaN,340.4655,340.4655,337.5775,338.7135,338.9977,338.938,340.1309
Q10,bite,10,340.9975,341.5775,342.9405,342.421,343.8445,NaN,NaN,343.8782,344.0688,344.1418,344.787,NaN,NaN,NaN,NaN,341.865,342.791,342.967,342.992,343.7215
Q10,bite,11,345.1535,346.1935,347.4485,346.992,348.1279,NaN,NaN,348.3357,348.8077,348.8071,349.156,NaN,NaN,348.9975,348.9975,346.2435,347.187,347.3965,347.279,348.4524
Q10,bite,12,350.413,350.773,352.315,351.687,353.13,NaN,NaN,353.173,353.526,353.524,353.9735,348.8005,348.9975,353.7905,354.0465,350.817,351.982,352.4028,352.0675,353.495
Q10,bite,13,354.7385,354.762,356.676,356.0745,357.432,NaN,NaN,357.552,357.6108,357.8652,358.229,353.2425,354.0465,357.9665,358.6315,355.2295,356.4155,356.7972,356.67,357.324
Q10,bite,14,359.0454,359.357,361.036,360.6895,361.6888,NaN,NaN,NaN,NaN,362.4565,362.8,357.9665,358.6372,362.525,363.341,359.5345,360.74,361.0408,360.3407,361.8019
Q10,bite,15,364.255,364.755,366.351,365.942,366.7395,NaN,NaN,367.3657,367.6248,367.6598,368.3315,NaN,NaN,367.943,367.943,364.909,365.9645,366.3375,366.2235,366.629
Q10,bite,16,308.4045,308.6945,310.3815,309.7315,311.1125,311.9715,311.9715,311.021,311.956,312.1435,312.5675,NaN,NaN,312.1545,313.06,308.854,310.641,310.8265,310.2984,311.9979
Q10,bite,17,314.7615,314.7615,316.2615,315.7736,316.3241,NaN,NaN,317.791,318.3535,318.302,318.6295,312.126,313.06,318.365,319.5445,314.971,316.3135,316.8263,316.2449,317.6854
Q10,bite,18,332.746,333.156,334.876,334.372,335.731,336.493,336.493,335.8505,337.2305,336.945,337.5265,NaN,NaN,337.2325,338.414,333.4165,334.8558,335.611,334.8145,335.7647
Q10,bite,19,769.0265,769.0265,771.0065,770.4385,771.891,773.1975,773.1976,771.7713,772.6658,773.0975,773.381,767.319,768.972,773.4905,774.326,769.848,770.6945,771.0245,771.201,771.6985
Q10,bite,20,775.1345,775.1345,777.1145,776.9755,777.5675,779.166,779.1661,778.7197,779.6438,780.1277,780.722,773.4877,775.5757,780.254,781.5465,776.349,776.349,777.216,777.206,778.589
Q10,bite,21,860.0935,860.0935,862.2235,861.6734,862.7084,864.6455,864.6456,863.338,865.102,865.1115,865.8105,858.9261,860.3241,NaN,NaN,860.9155,861.98,862.3305,862.3237,863.5464
Q10,weak bite,1,117.3295,117.775,119.708,119.005,122.4197,NaN,NaN,NaN,NaN,122.6948,123.246,NaN,NaN,123.323,123.7525,118.115,120.016,120.3665,119.3395,120.5175
Q10,weak bite,2,124.6885,125.2105,128.178,127.056,128.217,NaN,NaN,NaN,NaN,130.7414,131.3515,123.3252,124.7767,130.894,131.851,125.2815,128.8455,127.9255,127.991,128.805
Q10,weak bite,3,135.025,135.2145,136.755,136.317,137.576,NaN,NaN,NaN,NaN,139.643,140.2505,NaN,NaN,140.1245,141.0865,135.276,136.3975,137.2232,136.729,138.064
Q10,thin swallow,1,293.359,293.569,294.556,294.3145,295.4612,NaN,NaN,295.5712,295.5712,296.1849,296.5713,292.5652,294.184,296.4015,297.2975,NaN,NaN,294.6392,294.545,296.0345
Q10,thin swallow,2,297.092,297.732,298.1375,298.135,299.345,NaN,NaN,NaN,NaN,299.637,300.499,296.7195,297.8785,300.6915,301.483,NaN,NaN,298.2065,298.5575,299.6545
Q10,thin swallow,3,301.087,301.087,301.7345,301.6765,303.7735,302.7075,303.652,302.9059,303.7199,303.8623,305.4142,300.6922,301.6175,305.2985,306.018,NaN,NaN,301.7925,301.713,302.6045
Q10,VR thin swallow,4,313.2005,313.7505,315.503,314.997,317.1032,316.9175,316.9176,316.4205,317.1095,317.3055,317.8595,311.9875,312.584,318.7605,318.7605,314.02,315.064,315.497,315.5065,316.8095
Q10,VR thin swallow,5,317.7735,318.112,320.04,319.5105,324.528,322.7285,324.6485,321.176,324.419,324.8645,325.468,NaN,NaN,324.9525,326.346,NaN,NaN,320.3927,320.0219,320.6354
Q10,VR thin swallow,6,326.372,326.862,328.331,327.7915,330.5695,NaN,NaN,329.1127,330.1147,330.0515,331.0265,324.711,326.3462,330.11,331.513,327.02,328.076,328.9439,328.201,329.2637
Q10,VR thin swallow,7,250.506,250.906,252.5925,251.2833,255.0985,254.0175,254.4915,253.2078,254.6242,254.7705,255.344,NaN,NaN,254.953,256.315,251.626,252.434,252.6967,252.306,253.0255
Q10,VR thin swallow,8,258.2255,259.2755,260.675,260.151,263.8055,263.029,263.637,262.1178,263.8943,263.9735,264.5105,255.6335,256.674,264.0845,265.392,259.6667,261.072,261.3246,260.6459,261.2379
Q10,VR thin swallow,9,265.99,265.99,267.8305,267.1555,269.4597,NaN,NaN,269.3252,269.9342,270.204,270.8155,264.265,265.8635,270.6795,271.6925,267.168,267.8665,268.6095,267.7899,268.9744
Q10,thin swallow,10,271.2275,271.5275,272.0775,271.9945,274.6797,273.323,273.869,273.4852,274.5667,274.803,275.5005,270.777,271.984,274.8585,276.4505,NaN,NaN,272.1323,272.0879,273.1219
Q10,thin swallow,11,275.99,275.99,276.517,276.5145,278.8632,277.7175,278.876,278.3542,279.0467,279.078,279.9155,274.8585,276.4505,279.7835,280.734,276.6075,276.6076,276.791,276.5754,277.4401
Q10,thin swallow,12,280.473,280.473,281.1015,281.0445,283.9402,281.9355,283.4665,281.9235,283.243,283.9966,284.637,279.7855,280.958,284.073,285.527,NaN,NaN,281.2315,281.0659,281.9684
Q10,VR thin swallow,13,286.2005,286.2005,288.217,287.6227,289.5297,289.3215,289.3216,288.4248,289.8452,289.6305,290.313,NaN,NaN,289.641,291.083,287.6785,288.049,288.1552,288.1905,289.335
Q10,rejection,1,448.371,448.611,450.6545,447.2325,450.3245,452.2135,454.288,451.852,454.5815,454.314,454.7015,NaN,NaN,454.318,455.018,449.7225,449.7225,450.9955,449.4855,452.4855
Q10,rejection,2,457.161,457.3505,460.522,453.3425,459.3048,462.2816,465.4,462.017,456.336,464.813,465.946,NaN,NaN,465.0105,466.1915,457.2375,458.9435,460.9692,457.854,462.754
Q10,rejection,3,468.7925,468.918,472.0475,466.1645,471.3621,473.6385,475.135,473.6722,474.9783,475.0168,475.6275,NaN,NaN,475.0855,476.5205,469.208,471.074,472.3935,469.7244,474.2934
Q10,rejection,4,416.997,417.075,420.049,416.0765,418.7765,421.719,424.002,421.4878,422.2723,422.2013,422.6153,NaN,NaN,422.5245,423.5665,418.01,418.6665,420.4035,418.566,421.7962
Q10,rejection,5,427.4135,427.4135,430.332,423.225,429.584,432.3459,434.927,432.1262,434.3703,434.5242,435.845,NaN,NaN,435.417,435.4172,427.5717,429.272,430.9311,429.0255,434.8195
Q10,rejection,6,438.5629,438.6395,442.5395,435.74,441.049,444.3995,447.884,443.9158,447.5628,447.7675,448.564,NaN,NaN,447.8425,448.318,438.5683,440.675,443.0657,440.7555,444.671
Q10,rejection,7,451.8535,451.9695,455.8395,448.8565,454.0279,457.5435,463.711,457.2442,463.6357,463.817,464.6275,NaN,NaN,464.403,465.6145,452.267,454.0025,456.3953,453.973,457.88
Q10,rejection,8,349.088,349.088,353.094,348.06,351.727,354.9775,355.7245,354.747,356.0595,355.7637,357.3075,NaN,NaN,355.893,356.5415,350,351.772,353.7005,351.2069,355.0394
Q10,rejection,9,359.9995,360.365,364.195,356.5255,363.1765,366.511,366.5111,366.1787,367.8542,367.5842,370.3137,NaN,NaN,368.5625,369.793,358.6232,362.0812,364.944,361.8254,366.6719
Q10,rejection,10,373.527,373.5585,379.9685,370.4887,379.5402,381.9865,382.921,381.1748,383.0157,383.15,384.0135,NaN,NaN,383.5365,384.448,374.7085,376.7493,380.491,376.5625,381.8075
Q10,rejection,11,426.9715,426.9715,429.6715,426.4418,430.3083,429.98,432.6275,430.4114,431.2379,431.5029,432.9989,NaN,NaN,432.0615,433.4925,428.5995,428.964,429.6813,429.6764,431.4595
Q10,rejection,12,179.0135,179.0135,181.729,178.2185,181.439,183.81,184.7085,184.2047,184.4612,184.886,185.354,178.0402,178.44,184.9075,186.3235,179.858,181.7142,182.31,179.9235,183.8425
Q10,rejection,13,216.1155,216.1155,218.533,215.609,218.344,220.1985,220.597,219.5477,220.5787,220.815,221.4475,NaN,NaN,220.939,222.389,217.16,218.189,218.9096,218.0639,220.3824
Q10,rejection,14,148.7355,148.9355,151.2155,147.642,150.8937,153.0495,153.754,152.6582,153.7912,153.928,154.683,146.5917,147.7727,154.0355,155.5925,149.566,150.6808,151.7725,150.4895,153.665
Q10,rejection,15,169.2225,169.4525,174.27,167.598,174.3195,175.9525,178.5415,175.4342,176.9958,177.0525,177.3982,167.3091,168.0786,178.0375,178.0375,169.814,170.9957,175.078,170.7105,176.758
Q10,rejection,16,805.542,805.802,809.124,804.1875,808.6783,810.945,811.792,810.121,811.817,813.2815,814.087,NaN,NaN,813.4455,814.2755,806.5305,807.854,809.4952,806.7439,811.5329
Q10,rejection,17,817.4375,817.4375,820.9475,813.7074,820.7345,823.839,827.0525,822.9383,827.1863,827.0798,828.0603,NaN,NaN,NaN,NaN,816.9288,819.4895,821.7238,817.934,824.183
Q10,rejection,18,830.631,830.801,835.138,827.8667,833.3965,837.857,838.4235,836.5295,838.557,838.7855,839.4065,NaN,NaN,839.887,839.887,829.5623,833.2845,835.655,831.8285,838.1825
Q10,rejection,19,320.5515,320.5515,324.65,321.2605,324.6855,326.5075,326.872,325.8558,326.9088,326.7008,327.5443,318.8857,319.7857,326.903,327.791,323.8195,324.4443,325.2495,324.3065,326.6275
Q10,rejection,20,550.87,551.11,553.6,551.2235,552.6315,554.901,554.9011,554.7248,555.6783,555.593,556.226,549.9855,551.207,NaN,NaN,552.4,552.4001,553.9445,552.1469,555.141
Q19,bite,1,25.13,25.13,27.2605,26.3092,27.541,NaN,NaN,27.4645,27.738,28.2565,29.3328,NaN,NaN,28.6,28.6,25.7345,26.9365,27.3717,25.9484,27.4599
Q19,bite,2,33.574,33.434,35.1912,34.5025,35.86,NaN,NaN,35.4145,36.6305,36.5635,36.842,NaN,NaN,35.4117,35.5867,33.7673,34.9522,35.241,34.1874,34.9874
Q19,bite,3,93.7645,94.298,95.397,95.025,96.3643,NaN,NaN,96.4775,96.666,96.84,97.09,NaN,NaN,97.3,97.3,94.2075,95.0335,95.5935,95.0799,96.3659
Q19,bite,4,100.924,100.924,102.3615,101.8975,102.887,NaN,NaN,103.2625,103.669,103.6825,103.754,NaN,NaN,103.787,103.9,101.265,102.1725,102.3594,102.1599,102.9709
Q19,bite,5,104.446,104.446,106.368,105.6075,106.8768,NaN,NaN,106.38,107.3775,107.542,107.877,NaN,NaN,107.6265,107.8275,104.6965,105.818,106.2755,106.3107,106.7963
Q19,bite,6,109.1295,109.1625,110.792,110.111,111.274,NaN,NaN,111.3415,111.847,112.0526,112.742,NaN,NaN,NaN,NaN,109.6855,110.3585,110.7402,110.7325,111.4395
Q19,bite,7,122.099,122.1535,123.3635,123.159,124.2285,NaN,NaN,123.6382,124.8459,124.8538,125.152,NaN,NaN,124.9215,125.924,122.3355,123.3695,123.5905,123.6685,124.334
Q19,bite,8,134.28,134.308,135.9595,135.3055,136.8225,NaN,NaN,135.9282,137.0795,137.201,137.5145,NaN,NaN,NaN,NaN,135.12,135.6295,135.8334,135.8134,136.9274
Q19,bite,9,144.595,144.595,146.1635,145.5955,147.0195,NaN,NaN,146.3885,147.553,147.6613,147.864,NaN,NaN,147.6895,147.7695,144.6925,146.039,146.3225,146.2809,147.4824
Q19,bite,10,148.86,148.9595,150.914,150.282,151.5365,NaN,NaN,150.9185,151.9975,152.1163,152.4235,NaN,NaN,152.239,152.239,149.178,150.5935,150.8096,150.696,151.559
Q19,bite,11,153.2965,153.6165,155.4413,154.8365,156.1885,NaN,NaN,155.6065,156.656,156.9056,157.1195,NaN,NaN,157.0285,157.0285,153.983,155.11,155.492,155.588,156.262
Q19,bite,12,159.0435,159.0435,160.778,160.2057,161.459,NaN,NaN,160.8115,161.8425,161.9675,162.4185,NaN,NaN,161.977,162.4025,159.525,160.4855,160.7782,160.7267,161.4545
Q19,bite,13,167.373,168.003,169.7895,169.3535,170.657,NaN,NaN,169.9482,171.1312,171.3597,171.7025,NaN,NaN,NaN,NaN,168.7855,169.574,169.9265,169.9349,171.1514
Q19,bite,14,178.398,178.398,180.272,179.681,183.591,180.513,183.163,180.5845,183.36,183.3945,183.8015,NaN,NaN,183.441,183.9795,179.0892,180.4192,180.3891,180.3315,183.2725
Q19,bite,15,238.755,238.755,240.3395,239.9419,240.955,NaN,NaN,240.4095,241.2985,241.598,241.7545,NaN,NaN,241.6115,241.6115,239.7365,240.091,240.3645,240.43,240.8955
Q19,bite,16,242.053,242.053,244.002,243.4658,244.625,NaN,NaN,244.0925,244.8735,245.189,245.5805,NaN,NaN,245.228,245.295,243.274,243.523,243.9589,243.9775,244.626
